"id","name","code","start_date","end_date","course_id/name","company_id/name"
"op_batch_0296","TPONGE23DE","TPONGE23DE",2022-12-13,2023-12-31,"Diplomado Terapia de Pareja","ISEP INTERNACIONAL LLC"
"op_batch_0297","BSONGE23DE","BSONGE23DE",2022-12-13,2023-12-31,"Diplomado Conocimientos y habilidades básicas de la terapia sexual","ISEP INTERNACIONAL LLC"
"op_batch_0298","CEONGE23DE","CEONGE23DE",2022-12-13,2023-12-31,"Diplomado Capacidades intelectuales y estrategias de aprendizaje","ISEP INTERNACIONAL LLC"
"op_batch_0299","ADONGE23DE","ADONGE23DE",2022-12-13,2023-12-31,"Diplomado Alumnos con déficits motores, visuales y auditivos","ISEP INTERNACIONAL LLC"
"op_batch_0300","ICONGE23DE","ICONGE23DE",2022-12-13,2023-12-31,"Diplomado Diagnóstico e intervención en trastornos de conducta","ISEP INTERNACIONAL LLC"
"op_batch_0301","PEONGE23DE","PEONGE23DE",2022-12-13,2023-12-31,"Diplomado Psicología positiva y coaching educativo","ISEP INTERNACIONAL LLC"
"op_batch_0302","RCONGE23DE","RCONGE23DE",2022-12-13,2023-12-31,"Diplomado Resolución de conflictos y educación en valores en el aula","ISEP INTERNACIONAL LLC"
"op_batch_0303","PDONGE23DE","PDONGE23DE",2022-12-13,2023-12-31,"Diplomado Planeación, diseño curricular y de instrumentos de evaluación educativa","ISEP INTERNACIONAL LLC"
"op_batch_0304","EEONGE23DE","EEONGE23DE",2022-12-13,2023-12-31,"Diplomado Evolución y exploración del lenguaje","ISEP INTERNACIONAL LLC"
"op_batch_0305","TLONGE23DE","TLONGE23DE",2022-12-13,2023-12-31,"Diplomado Trastornos del lenguaje y el habla","ISEP INTERNACIONAL LLC"
"op_batch_0306","NNONGE23DE","NNONGE23DE",2022-12-13,2023-12-31,"Diplomado Fundamentos neuropsicológicos y del neuromanagement","ISEP INTERNACIONAL LLC"
"op_batch_0307","BNONGE23DE","BNONGE23DE",2022-12-13,2023-12-31,"Diplomado Bases financieras y neuroliderazgo","ISEP INTERNACIONAL LLC"
"op_batch_0308","FAONGE23DE","FAONGE23DE",2022-12-13,2023-12-31,"Diplomado Fundamentos y administración estratégica","ISEP INTERNACIONAL LLC"
"op_batch_0309","LOONGE23DE","LOONGE23DE",2022-12-13,2023-12-31,"Diplomado Liderazgo organizacional y toma de decisiones","ISEP INTERNACIONAL LLC"
"op_batch_0310","FBONGE23DE","FBONGE23DE",2022-12-13,2023-12-31,"Diplomado Fudamentos de big data y business intelligence","ISEP INTERNACIONAL LLC"
"op_batch_0311","EMONGE23DE","EMONGE23DE",2022-12-13,2023-12-31,"Diplomado Estadística, modelos de regresión y análisis predictivo para la toma de decisiónes","ISEP INTERNACIONAL LLC"
"op_batch_0312","IPONGE23DE","IPONGE23DE",2022-12-13,2023-12-31,"Diplomado Dirección de proyectos","ISEP INTERNACIONAL LLC"
"op_batch_0313","GDONGE23DE","GDONGE23DE",2022-12-13,2023-12-31,"Diplomado Gestiones para la dirección de proyectos","ISEP INTERNACIONAL LLC"
"op_batch_0314","NGONGE23DE","NGONGE23DE",2022-12-13,2023-12-31,"Diplomado Neuroliderazgo y gestión de equipos de alto rendimiento","ISEP INTERNACIONAL LLC"
"op_batch_0315","CCONGE23DE","CCONGE23DE",2022-12-13,2023-12-31,"Diplomado Consultoría y certificación en proyectos","ISEP INTERNACIONAL LLC"
"op_batch_0316","HBONGE23DE","HBONGE23DE",2022-12-13,2023-12-31,"Diplomados Habilidades básicas del terapeuta","ISEP INTERNACIONAL LLC"
"op_batch_0317","BBONMX23UE","BBONMX23UE",2022-12-13,2023-12-31,"Maestría en Big Data y Business Intelligence","ISEP INTERNACIONAL LLC"
"op_batch_0318","IEONCO23UE","IEONCO23UE",2022-12-13,2023-12-31,"Maestría en inteligencia emocional y desarrollo personal","ISEP INTERNACIONAL LLC"
"op_batch_0319","CBONCU23GE","CBONCU23GE",2022-12-13,2023-12-31,"Curso Ciberbullying","ISEP INTERNACIONAL LLC"
"op_batch_0320","DAONCU23GE","DAONCU23GE",2022-12-13,2023-12-31,"Curso Déficit de Atención","ISEP INTERNACIONAL LLC"
"op_batch_0321","TEONCU23GE","TEONCU23GE",2022-12-13,2023-12-31,"Curso Nuevas Tecnologías Aplicadas a la Intervención Educativa","ISEP INTERNACIONAL LLC"
"op_batch_0322","SDONCU23GE","SDONCU23GE",2022-12-13,2023-12-31,"Curso Psicología de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0323","EIONCO23UE","EIONCO23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en innovación educativa","ISEP INTERNACIONAL LLC"
"op_batch_0324","EGONCO23UE","EGONCO23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en educación y gestión educativa","ISEP INTERNACIONAL LLC"
"op_batch_0325","EIONMX23UE","EIONMX23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en innovación educativa","ISEP INTERNACIONAL LLC"
"op_batch_0326","EGONMX23UE","EGONMX23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en educación y gestión educativa","ISEP INTERNACIONAL LLC"
"op_batch_0327","EUONCO23UE","EUONCO23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en educación universitaria","ISEP INTERNACIONAL LLC"
"op_batch_0328","EUONMX23UE","EUONMX23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en educación universitaria","ISEP INTERNACIONAL LLC"
"op_batch_0329","EBONCO23UE","EBONCO23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en educación basada en competencias","ISEP INTERNACIONAL LLC"
"op_batch_0330","EBONMX23UE","EBONMX23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en educación basada en competencias","ISEP INTERNACIONAL LLC"
"op_batch_0331","EMONCO23UE","EMONCO23UE",2022-12-15,2023-12-31,"Maestría en educación con especialidad en educación Montessori","ISEP INTERNACIONAL LLC"
"op_batch_0332","BAONIS23P","BAONIS23P",2023-01-01,2025-12-31,"Mestrado em Administração","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0333","LPONIS23P","LPONIS23P",2023-01-01,2025-12-31,"Mestrado em Distúrbios da Linguagem e da Fala","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0334","THONIS23P","THONIS23P",2023-01-01,2025-12-31,"Mestrado em Neuromanagement e Gestão de Talento","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0335","IEONMX23UE","IEONMX23UE",2023-01-06,2023-12-31,"Maestría en inteligencia emocional y desarrollo personal","ISEP INTERNACIONAL LLC"
"op_batch_0336","DPONIS23P","DPONIS23P",2023-01-01,2025-12-31,"Mestrado em Gestão de Projetos","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0337","AVONIS23P","AVONIS23P",2023-01-01,2023-12-31,"Avaliação de problemas psicológicos e desenho terapêutico","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0338","TEONIS23P","TEONIS23P",2023-01-01,2023-12-31,"Trabalho em Equipe e Inteligência Emocional","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0339","IIONCU23GE","IIONCU23GE",2023-02-14,2023-12-31,"Curso Inteligencia Interpersonal","ISEP INTERNACIONAL LLC"
"op_batch_0340","AIONCU23GE","AIONCU23GE",2023-02-17,2023-12-31,"El psicólogo en oncología, atención integral","ISEP INTERNACIONAL LLC"
"op_batch_0341","UISEONP23A","UISEONP23A",2023-02-21,2023-06-29,"Master en Filosofia","ISEP INTERNACIONAL LLC"
"op_batch_0342","BAONMX23UE","BAONMX23UE",2023-02-21,2023-12-31,"Maestría en Administración","ISEP INTERNACIONAL LLC"
"op_batch_0343","MNONIS23P","MNONIS23P",2023-01-01,2025-12-31,"Máster em Neuropsicologia Clínica - BR","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0344","TDONIS23P","TDONIS23P",2023-01-01,2024-12-31,"TDAH - Transtorno de déficit de atenção com ou sem hiperatividade","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0345","BBONIS23P","BBONIS23P",2023-01-01,2025-12-31,"Mestrado em Big Data e Business Intelligence","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0346","PSONMX233E","PSONMX233E",2023-09-01,2025-12-31,"Maestría en Psicología Clínica","ISEP INTERNACIONAL LLC"
"op_batch_0347","TESTE23ONGE","TESTE23ONGE",2023-07-08,2023-07-10,"Mestrado Teste","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0348","EDONIS24P","EDONIS24P",2024-01-01,2026-12-31,"Mestrado em Educação","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0349","PC36GE22UEE","PC36GE22UEE",2023-07-25,2024-07-31,"Maestría en Psicología Clínica y de la Salud","ISEP LATAM"
"op_batch_0350","PSONCO23ISE","PSONCO23ISE",2023-07-26,2023-12-31,"Maestría en Psicología Clínica","ISEP INTERNACIONAL LLC"
"op_batch_0351","EAONMX23ISE","EAONMX23ISE",2023-07-26,2023-12-31,"Énfasis en Psicología Clínica para Adultos","ISEP INTERNACIONAL LLC"
"op_batch_0352","EAONCO23ISE","EAONCO23ISE",2023-07-26,2023-12-31,"Énfasis en Psicología Clínica para Adultos","ISEP INTERNACIONAL LLC"
"op_batch_0353","EJONCO23ISE","EJONCO23ISE",2023-07-26,2023-12-31,"Énfasis en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0354","EJONMX23ISE","EJONMX23ISE",2023-07-26,2023-12-31,"Énfasis en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0355","EPONMX23ISE","EPONMX23ISE",2023-07-26,2023-12-31,"Énfasis en Psicología Clínica para Parejas","ISEP INTERNACIONAL LLC"
"op_batch_0356","EPONCO23ISE","EPONCO23ISE",2023-07-26,2023-12-31,"Énfasis en Psicología Clínica para Parejas","ISEP INTERNACIONAL LLC"
"op_batch_0357","MPONMX23ISE","MPONMX23ISE",2022-11-27,2025-12-31,"Maestría en Psicoterapia Cognitivo-Conductual.","ISEP INTERNACIONAL LLC"
"op_batch_0358","HAONIS23P","HAONIS23P",2023-01-01,2025-12-31,"Apostilamento de HAIA","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0359","PSONMX23ISE","PSONMX23ISE",2023-08-15,2023-12-31,"Maestría en Psicología Clínica","ISEP INTERNACIONAL LLC"
"op_batch_0360","PCONIS24P","PCONIS24P",2024-01-01,2026-12-31,"Mestrado em Psicologia Clínica e da Saúde","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0361","PCONMX23ISE","PCONMX23ISE",2023-09-12,2025-09-12,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0362","PCONCO23ISE","PCONCO23ISE",2023-09-12,2025-09-12,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0363","EMONMX23UE","EMONMX23UE",2023-09-26,2025-12-31,"Maestría en educación con especialidad en educación Montessori","ISEP INTERNACIONAL LLC"
"op_batch_0364","COONIS23P","COONIS23P",2023-01-01,2023-12-31,"Especialização em Psicologia Clínica e da Saúde","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0365","LTONIS23P","LTONIS23P",2023-01-01,2023-12-31,"Especialização em Avaliação e Terapia Psicológica","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0366","IAONIS23P","IAONIS23P",2023-01-01,2023-12-31,"Especialização em Educação Socioemocional na Infância e Adolescência","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0367","DDONIS23P","DDONIS23P",2023-01-01,2023-12-31,"Especialização em Diagnóstico e Intervenção em Disfunções Sexuais","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0368","ECONIS23P","ECONIS23P",2023-01-01,2023-12-31,"Especialização em Planejamento Educacional e Currículo Inclusivo","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0369","JFONIS23P","JFONIS23P",2023-01-01,2023-12-31,"Especialização em Psicologia Jurídica e Forense","ISEP INTERNACIONAL LLC - (BRASIL)"
