"id","name","code","start_date","end_date","course_id/name","company_id/name"
"op_batch_0158","MNONIS22P","MNONIS22P",2022-08-19,2024-12-31,"op_course_0102","__export__.res_company_8_50662d8b"
"op_batch_0159","APONIS23P","APONIS23P",2023-01-01,2025-12-31,"Mestrado em Intervenção em Dificuldades de Aprendizagem","__export__.res_company_8_50662d8b"
"op_batch_0160","EDONIS23P","EDONIS23P",2023-01-01,2025-12-31,"Mestrado em Educação","__export__.res_company_8_50662d8b"
"op_batch_0161","ESONIS23P","ESONIS23P",2023-01-01,2025-12-31,"Mestrado em Educação Especial","__export__.res_company_8_50662d8b"
"op_batch_0162","PVONIS23P","PVONIS23P",2023-01-01,2025-12-31,"Mestrado em Psicopedagogia Terapêutica","__export__.res_company_8_50662d8b"
"op_batch_0163","PCONIS23P","PCONIS23P",2023-01-01,2025-12-31,"Mestrado em Psicologia Clínica e da Saúde","__export__.res_company_8_50662d8b"
"op_batch_0164","AUONIS23P","AUONIS23P",2023-01-01,2025-12-31,"Especialização em Transtorno do Espectro do Autismo","__export__.res_company_8_50662d8b"
"op_batch_0165","MPONIS23P","MPONIS23P",2023-01-01,2025-12-31,"Máster em Terapia Cognitivo-Comportamental","__export__.res_company_8_50662d8b"
"op_batch_0166","PCONMX22GE","PCONMX22GE",2022-08-29,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0167","PCONMX22EE","PCONMX22EE",2022-08-29,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0168","PC36MX22GE","PC36MX22GE",2022-08-29,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0169","PC36MX22EE","PC36MX22EE",2022-08-29,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0170","MLONMX22GE","MLONMX22GE",2022-08-29,2022-12-31,"op_course_0004","base.main_company"
"op_batch_0171","MLONMX22EE","MLONMX22EE",2022-08-29,2022-12-31,"op_course_0004","base.main_company"
"op_batch_0172","LP36MX22GE","LP36MX22GE",2022-08-29,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0173","POONMX22GE","POONMX22GE",2022-08-29,2022-12-31,"op_course_0008","base.main_company"
"op_batch_0174","THONMX22GE","THONMX22GE",2022-08-29,2022-12-31,"op_course_0021","base.main_company"
"op_batch_0175","MLONIS23P","MLONIS23P",2023-01-01,2025-12-31,"Mestrado em Psicologia Forense","__export__.res_company_8_50662d8b"
"op_batch_0176","MIONIS23P","MIONIS23P",2023-01-01,2025-12-31,"Mestrado em Psicologia Clínica da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0177","PFONIS23P","PFONIS23P",2023-01-01,2025-12-31,"Máster em Psicoterapia da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0178","MSONIS23P","MSONIS23P",2023-01-01,2025-12-31,"Máster em Sexologia Clínica e Terapia de Casais","__export__.res_company_8_50662d8b"
"op_batch_0179","CPONIS23P","CPONIS23P",2023-01-01,2025-12-31,"Máster em Psico-Oncologia e Cuidados Paliativos","__export__.res_company_8_50662d8b"
"op_batch_0180","ATONIS23P","ATONIS23P",2023-01-01,2025-12-31,"Especialização em Cuidados Precoces","__export__.res_company_8_50662d8b"
"op_batch_0181","AUONCO22AE","AUONCO22AE",2022-09-05,2022-12-31,"op_course_0015","base.main_company"
"op_batch_0182","AUONMX22AE","AUONMX22AE",2022-09-10,2022-12-31,"op_course_0015","base.main_company"
"op_batch_0183","TDONISE22P","TDONISE22P",2022-01-01,2030-12-31,"op_course_0104","__export__.res_company_8_50662d8b"
"op_batch_0184","AVONIS22P","AVONIS22P",2022-01-01,2030-12-31,"op_course_0105","__export__.res_company_8_50662d8b"
"op_batch_0185","STONIS22P","STONIS22P",2022-01-01,2030-12-31,"Saúde, Trabalho e Saúde Laboral","__export__.res_company_8_50662d8b"
"op_batch_0186","BDONIS22P","BDONIS22P",2022-01-01,2030-12-31,"op_course_0106","__export__.res_company_8_50662d8b"
"op_batch_0187","TNONIS22P","TNONIS22P",2022-01-01,2030-12-31,"op_course_0107","__export__.res_company_8_50662d8b"
"op_batch_0188","CYONIS22P","CYONIS22P",2022-01-01,2030-12-31,"op_course_0108","__export__.res_company_8_50662d8b"
"op_batch_0189","PMONIS22P","PMONIS22P",2022-01-01,2030-12-31,"op_course_0109","__export__.res_company_8_50662d8b"
"op_batch_0190","AIONIS22P","AIONIS22P",2022-01-01,2030-12-31,"op_course_0110","__export__.res_company_8_50662d8b"
"op_batch_0191","TEONIS22P","TEONIS22P",2022-01-01,2035-12-31,"Trabalho em Equipe e Inteligência Emocional","__export__.res_company_8_50662d8b"
"op_batch_0192","PIONIS23P","PIONIS23P",2023-01-01,2023-12-31,"Especialização em Avaliação e Intervenção em Crianças e Adolescentes","__export__.res_company_8_50662d8b"
"op_batch_0193","POONIS23P","POONIS23P",2023-01-01,2023-12-31,"Especialização em Psico-oncologia","__export__.res_company_8_50662d8b"
"op_batch_0194","SEONIS23P","SEONIS23P",2023-01-01,2023-12-31,"Especialização em Terapia Sexual e de Casais","__export__.res_company_8_50662d8b"
"op_batch_0195","NPONIS23P","NPONIS23P",2023-01-01,2023-12-31,"Especialização em Neuropsicologia Clínica","__export__.res_company_8_50662d8b"
"op_batch_0196","DEONMX23UE","DEONMX23UE",2022-10-26,2024-12-31,"op_course_0112","base.main_company"
"op_batch_0197","DEONCO23UE","DEONCO23UE",2022-10-26,2024-12-31,"op_course_0112","base.main_company"
"op_batch_0198","MDONMX23UE","MDONMX23UE",2022-11-04,2024-12-31,"op_course_0113","base.main_company"
"op_batch_0199","MDONCO23UE","MDONCO23UE",2022-11-04,2023-12-31,"op_course_0113","base.main_company"
"op_batch_0200","REONIS22P","REONIS22P",2022-01-01,2024-12-31,"op_course_0114","__export__.res_company_8_50662d8b"
"op_batch_0201","REONIS23P","REONIS23P",2023-01-01,2025-12-31,"op_course_0114","__export__.res_company_8_50662d8b"
"op_batch_0202","ADM_E1_ONIS23/2P","ADM_E1_ONIS23/2P",2023-07-01,2023-12-31,"op_course_0115","__export__.res_company_8_50662d8b"
"op_batch_0203","ADM_E2_ONIS23/2P","ADM_E2_ONIS23/2P",2023-07-01,2023-12-31,"op_course_0115","__export__.res_company_8_50662d8b"
"op_batch_0204","KEONIS22P","KEONIS22P",2022-01-01,2030-12-31,"op_course_0118","__export__.res_company_8_50662d8b"
"op_batch_0205","SPONIS22P","SPONIS22P",2022-01-01,2030-12-31,"op_course_0119","__export__.res_company_8_50662d8b"
"op_batch_0206","SMONIS22P","SMONIS22P",2022-01-01,2030-12-31,"op_course_0120","__export__.res_company_8_50662d8b"
"op_batch_0207","LGONIS22P","LGONIS22P",2022-01-01,2030-12-31,"op_course_0121","__export__.res_company_8_50662d8b"
"op_batch_0208","DEONIS22P","DEONIS22P",2022-01-01,2030-12-31,"DevOps Essentials Professional Certificate -DEPC®","__export__.res_company_8_50662d8b"
"op_batch_0209","DTONIS22P","DTONIS22P",2022-01-01,2030-12-31,"op_course_0123","__export__.res_company_8_50662d8b"
"op_batch_0210","CPDONIS22P","CPDONIS22P",2022-01-01,2030-12-31,"op_course_0124","__export__.res_company_8_50662d8b"
